arm,run,catalyst,pathway,is_best,step_idx,parent,product,rule,n_electrons,delta_e,delta_zpe,delta_ts,dG0,U_onset,feasible,pathway_idx
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *CHO → *CO → *,False,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,7
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *COH → *CO → *,False,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,8
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *COH → *CO → *,False,1,*CHO2,*CHO2H,protonation,-1,-0.4674,0.1631,-0.1322,-0.1721,-0.5424,True,8
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *COH → *CO → *,False,2,*CHO2H,*COH,bond_dissociation,0,1.5389,0.029,0.1186,1.4493,-0.5424,True,8
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *COH → *CO → *,False,3,*COH,*CO,bond_dissociation,0,-1.0704,-0.1732,0.301,-1.5446,-0.5424,True,8
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *COH → *CO → *,False,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,8
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,1,*COOH,*CH2O2,protonation,-1,-0.6093,0.1534,-0.1293,-0.3265,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,2,*CH2O2,*CH2O,bond_dissociation,0,0.3717,0.1304,0.2064,0.2958,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,3,*CH2O,*CHO,bond_dissociation,0,0.2527,-0.1534,0.1261,-0.0267,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,4,*CHO,*CO,bond_dissociation,0,-0.154,-0.1187,0.1622,-0.4348,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CH2O → *CHO → *CO → *,False,5,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,9
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,1,*CHO2,*CH2O2,protonation,-1,-0.4693,0.1605,-0.2072,-0.1016,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,2,*CH2O2,*CH2O,bond_dissociation,0,0.3717,0.1304,0.2064,0.2958,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,3,*CH2O,*CHO,bond_dissociation,0,0.2527,-0.1534,0.1261,-0.0267,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,4,*CHO,*CO,bond_dissociation,0,-0.154,-0.1187,0.1622,-0.4348,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CH2O → *CHO → *CO → *,False,5,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,10
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,11
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,1,*CHO2,*CHO,bond_dissociation,0,0.1551,0.1375,0.1252,0.1675,-0.5424,True,11
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,2,*CHO,*CHOH,protonation,-1,-0.1186,0.2089,-0.278,0.3683,-0.5424,True,11
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,3,*CHOH,*COH,bond_dissociation,0,1.035,-0.1543,0.1393,0.7415,-0.5424,True,11
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,4,*COH,*CO,bond_dissociation,0,-1.0704,-0.1732,0.301,-1.5446,-0.5424,True,11
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO → *CHOH → *COH → *CO → *,False,5,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,11
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,0,*OO,*OOH,protonation,-1,-0.6047,0.1559,-0.1338,-0.315,0.2653,True,0
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,1,*OOH,*OOH2,protonation,-1,-0.7223,0.1475,-0.1267,-0.4481,0.2653,True,0
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,2,*OOH2,*O,bond_dissociation,0,-1.5907,-0.0768,0.3465,-2.014,0.2653,True,0
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,3,*O,*OH,protonation,-1,-0.5753,0.1478,-0.1622,-0.2653,0.2653,True,0
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,4,*OH,*H2O,protonation,-1,-1.1367,0.1407,-0.078,-0.918,0.2653,True,0
deepseek-v3,10766639,Pt(111)_ORR,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,True,5,*H2O,*,product_desorption,0,0.4121,-0.0654,0.3796,-0.0329,0.2653,True,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,0,*OO,*OOH,protonation,-1,-0.9257,0.1463,-0.2113,-0.5681,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,1,*OOH,*OOHOH,hydroxylation,1,1.5603,-0.0419,-0.2372,1.7556,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,2,*OOHOH,*O,bond_dissociation,0,-3.4834,0.1341,0.4736,-3.8229,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,3,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,4,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,True,5,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,0
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,0,*OO,*OOH,protonation,-1,-0.9257,0.1463,-0.2113,-0.5681,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,1,*OOH,*O(OH)OH,hydroxylation,1,1.5664,-0.0411,-0.2195,1.7448,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,2,*O(OH)OH,*O,bond_dissociation,0,-3.4895,0.1333,0.4558,-3.812,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,3,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,4,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOH → *O(OH)OH → *O → *OH → *HOH → *,False,5,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,1
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,1,*OOOH,*OOOH2,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,2,*OOOH2,*O,bond_dissociation,0,-3.4834,0.1341,0.4736,-3.823,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,3,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,4,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *O → *OH → *HOH → *,False,5,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,2
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOHOH,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,2,*OOHOH,*O,bond_dissociation,0,-3.4834,0.1341,0.4736,-3.8229,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,3,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,4,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *O → *OH → *HOH → *,False,5,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,3
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOOH2,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,2,*OOOH2,*OOH,dehydroxylation,0,-1.5603,0.0419,0.2372,-1.7557,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,3,*OOH,*O,dehydroxylation,0,-1.9231,0.0922,0.2364,-2.0673,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,4,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,5,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,6,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,4
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOOH2,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,2,*OOOH2,*OOH,dehydroxylation,0,-1.5603,0.0419,0.2372,-1.7557,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,3,*OOH,*O,bond_dissociation,0,-1.9231,0.0922,0.2364,-2.0673,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,4,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,5,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOOH2 → *OOH → *O → *OH → *HOH → *,False,6,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,5
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOHOH,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,2,*OOHOH,*OOH,bond_dissociation,0,-1.5603,0.0419,0.2372,-1.7556,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,3,*OOH,*O,dehydroxylation,0,-1.9231,0.0922,0.2364,-2.0673,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,4,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,5,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,6,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,6
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOHOH,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,2,*OOHOH,*OOH,bond_dissociation,0,-1.5603,0.0419,0.2372,-1.7556,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,3,*OOH,*O,bond_dissociation,0,-1.9231,0.0922,0.2364,-2.0673,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,4,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,5,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,6,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,7
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,0,*OO,*OOOH,hydroxylation,1,1.0769,-0.0858,-0.3007,1.2918,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,1,*OOOH,*OOHOH,protonation,-1,-0.4423,0.1903,-0.1478,-0.1042,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,2,*OOHOH,*OOH,dehydroxylation,0,-1.5603,0.0419,0.2372,-1.7556,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,3,*OOH,*O,dehydroxylation,0,-1.9231,0.0922,0.2364,-2.0673,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,4,*O,*OH,protonation,-1,-1.3163,0.1414,-0.1512,-1.0238,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,5,*OH,*HOH,protonation,-1,-1.3328,0.1322,-0.1218,-1.0788,-999.0,False,8
deepseek-v3,10766639,Au(111)_ORR,*OO → *OOOH → *OOHOH → *OOH → *O → *OH → *HOH → *,False,6,*HOH,*,product_desorption,0,0.2799,-0.0404,0.4027,-0.1631,-999.0,False,8
